,Index1,Bus_Num
0,0,24
1,1,22
2,2,24
3,3,17
4,4,22
5,5,19
6,6,12
7,7,20
8,8,21
9,9,34
10,10,21
11,11,20
12,12,22
13,13,24
14,14,19
15,15,34
16,16,20
17,17,18
18,18,34
19,19,35
20,20,16
21,22,17
22,23,27
23,24,26
24,25,11
25,26,3
26,27,16
27,28,26
28,34,28
29,35,36
30,36,24
31,37,10
32,38,20
33,39,30
34,40,31
35,41,19
36,42,21
37,43,22
38,44,20
39,45,9
40,46,30
41,47,18
42,48,13
43,49,24
44,50,34
45,51,15
46,52,21
47,53,14
48,55,21
49,56,17
50,57,25
51,58,22
52,59,22
53,60,23
54,61,30
55,62,26
56,63,27
57,64,18
58,65,22
59,66,22
60,67,35
61,68,20
62,69,33
63,70,17
64,71,20
65,72,38
66,73,38
67,74,23
68,75,29
69,76,23
70,77,9
71,78,23
72,79,21
73,80,22
74,81,16
75,82,20
76,83,35
77,84,16
78,85,18
79,86,25
80,87,24
81,88,12
82,89,9
83,90,10
84,91,36
85,92,20
86,93,22
87,94,33
88,95,19
89,96,13
90,97,19
91,98,17
92,99,25
93,100,23
94,101,28
95,102,23
96,103,29
97,104,19
98,105,16
99,106,37
100,107,27
101,108,20
102,109,22
103,110,14
104,111,16
105,112,30
106,113,19
107,114,27
108,115,28
109,116,20
110,117,17
111,118,15
112,119,20
113,120,58
114,121,13
115,122,58
116,123,17
117,124,20
118,125,20
119,126,18
120,127,38
121,128,18
122,129,15
123,130,25
124,131,25
125,132,25
126,133,28
127,134,33
128,135,25
129,136,27
130,137,32
131,138,19
132,139,14
133,140,20
134,141,21
135,142,29
136,143,28
137,145,20
138,146,58
139,147,16
140,148,20
141,149,20
142,150,18
143,151,21
144,152,4
145,153,30
146,154,22
147,155,17
148,156,32
149,157,32
150,158,31
151,159,15
152,160,19
153,161,18
154,162,24
155,163,19
156,164,17
157,165,22
158,166,8
159,167,24
160,168,19
161,169,8
162,170,9
163,171,29
164,172,21
165,173,30
166,174,25
167,175,12
168,176,19
169,177,17
170,178,8
171,179,32
172,180,21
173,181,33
174,182,24
175,183,18
176,184,23
177,185,19
178,187,18
179,188,20
180,189,20
181,190,9
182,191,21
183,192,14
184,193,31
185,194,30
186,195,25
187,196,32
188,197,31
189,198,26
190,199,12
191,200,17
192,201,21
193,202,33
194,203,14
195,204,20
196,205,24
197,206,28
198,207,20
199,208,19
200,209,6
201,210,7
202,211,7
203,212,19
204,213,26
205,214,20
206,215,14
207,216,58
208,217,23
209,218,19
210,219,13
211,220,39
212,221,21
213,222,25
214,223,18
215,224,22
216,225,16
217,226,24
218,227,19
219,228,8
220,229,6
221,230,54
222,231,58
223,232,16
224,233,21
225,234,18
226,235,23
227,236,17
228,237,15
229,238,19
230,239,21
231,240,29
232,241,17
233,242,18
234,243,25
235,244,17
236,245,26
237,246,14
238,247,39
239,248,19
240,249,12
241,250,32
242,251,23
243,252,22
244,253,11
245,254,10
246,255,21
247,256,27
248,257,20
249,258,13
250,259,19
251,260,17
252,261,21
253,262,51
254,263,20
255,264,23
256,265,24
257,266,32
258,267,13
259,268,28
260,269,13
261,270,18
262,271,16
263,272,29
264,273,20
265,274,26
266,275,32
267,276,16
268,277,19
269,278,22
270,279,17
271,280,19
272,281,21
273,282,22
274,283,30
275,284,21
276,285,20
277,286,19
278,287,23
279,288,17
280,289,28
281,290,27
282,291,26
283,292,24
284,293,26
285,294,24
286,295,31
287,296,30
288,297,35
289,298,32
290,299,14
291,300,34
292,301,29
293,302,21
294,303,27
295,304,23
296,305,28
297,306,15
298,307,25
299,308,22
300,309,26
301,310,6
302,311,10
303,312,17
304,313,34
305,314,21
306,315,23
307,316,28
308,317,25
309,318,19
310,319,34
311,320,9
312,321,16
313,322,25
314,323,20
315,324,20
316,325,19
317,326,33
318,327,16
319,328,22
320,329,31
321,330,34
322,331,15
323,332,22
324,333,16
325,334,34
326,335,19
327,336,23
328,337,22
329,338,22
330,339,23
331,340,21
332,341,18
333,342,24
334,343,17
335,344,19
336,345,16
337,346,11
338,347,58
339,348,58
340,349,27
341,350,20
342,351,32
343,352,3
344,353,31
345,354,23
346,355,22
347,356,32
348,357,29
349,358,14
350,359,18
351,360,3
352,361,18
353,362,11
354,363,27
355,364,41
356,365,8
357,366,20
358,367,19
359,368,22
360,369,58
361,370,22
362,371,32
363,372,25
364,373,15
365,374,13
366,375,58
367,376,8
368,377,38
369,378,13
370,379,16
371,380,18
372,381,26
373,382,24
374,383,18
375,384,17
376,385,28
377,386,28
378,387,16
379,388,23
380,389,22
381,390,21
382,391,16
383,392,8
384,393,25
385,394,29
386,395,31
387,396,25
388,397,30
389,398,18
390,399,36
391,400,15
392,401,16
393,402,27
394,403,36
395,404,24
396,405,25
397,406,18
398,407,17
399,408,26
400,409,29
401,410,24
402,411,20
403,412,18
404,413,14
405,414,38
406,415,36
407,416,16
408,417,1
409,418,15
410,419,22
411,420,19
412,421,16
413,422,25
414,423,15
415,424,15
416,425,9
417,426,9
418,427,24
419,428,39
420,429,17
421,430,30
422,431,22
423,432,24
424,433,40
425,434,30
426,435,26
427,436,18
428,437,22
429,438,14
430,439,24
431,440,32
432,441,17
433,442,19
434,443,22
435,444,28
436,445,28
437,446,14
438,447,24
439,448,35
440,449,19
441,450,23
442,451,21
443,452,20
444,453,19
445,454,24
446,455,21
447,456,30
448,457,28
449,458,35
450,459,25
451,460,16
452,461,19
453,462,18
454,463,24
455,464,29
456,465,22
457,466,22
458,467,25
459,468,18
460,470,21
461,471,22
462,472,22
463,473,41
464,474,18
465,475,19
466,476,20
467,477,15
468,478,23
469,479,20
470,480,19
471,481,29
472,482,26
473,483,8
474,484,22
475,485,40
476,486,22
477,487,24
478,488,30
479,489,19
480,490,21
481,491,26
482,492,14
483,493,32
484,494,21
485,495,12
486,496,21
487,497,27
488,498,24
489,499,13
490,500,24
491,501,17
492,502,29
493,503,22
494,504,23
495,505,34
496,506,39
497,507,32
498,508,9
499,509,17
500,510,21
501,511,23
502,512,20
503,513,18
504,514,17
505,515,27
506,516,13
507,517,29
508,518,18
509,519,15
510,520,36
511,521,29
512,522,11
513,523,22
514,524,20
515,525,15
516,526,16
517,527,16
518,528,20
519,529,7
520,530,18
521,531,18
522,532,18
523,533,29
524,534,10
525,535,30
526,536,17
527,537,19
528,538,35
529,539,38
530,540,32
531,541,21
532,542,41
533,543,19
534,544,23
535,545,17
536,546,20
537,547,13
538,548,58
539,549,18
540,550,29
541,551,21
542,552,15
543,554,23
544,555,21
545,556,40
546,557,20
547,558,38
548,559,30
549,560,28
550,561,18
551,562,21
552,563,17
553,564,19
554,565,18
555,566,18
556,567,10
557,568,23
558,569,30
559,570,12
560,571,22
561,572,25
562,573,17
563,574,20
564,575,26
565,576,12
566,577,22
567,578,17
568,579,24
569,580,10
570,581,12
571,582,8
572,583,24
573,584,17
574,585,20
575,586,12
576,587,22
577,588,14
578,589,23
579,590,20
580,591,26
581,592,58
582,593,17
583,594,34
584,595,11
585,596,33
586,597,26
587,598,19
588,599,17
589,600,28
590,601,28
591,602,26
592,603,17
593,604,20
594,605,15
595,606,32
596,607,8
597,608,13
598,609,29
599,610,9
600,611,26
601,612,19
602,613,18
603,614,18
604,615,19
605,616,3
606,617,22
607,618,22
608,619,31
609,620,32
610,621,20
611,622,34
612,623,20
613,624,19
614,625,30
615,626,19
616,627,23
617,628,40
618,629,21
619,630,17
620,631,39
621,632,17
622,633,28
623,634,30
624,635,28
625,636,20
626,637,21
627,638,24
628,639,17
629,640,18
630,641,25
631,642,28
632,643,21
633,644,25
634,645,24
635,646,18
636,647,25
637,648,28
638,649,22
639,650,27
640,651,26
641,652,6
642,653,12
643,654,15
644,655,17
645,656,34
646,657,12
647,658,19
648,659,23
649,660,38
650,661,6
651,662,20
652,663,23
653,664,17
654,665,58
655,666,58
656,667,58
657,668,58
658,669,22
659,670,10
660,671,22
661,672,25
662,673,21
